"_id","name","thumb"
"5cd76be4dcc70d919e0e6ae4","Eddard “Ned” Stark","eddard_“ned” stark.jpeg"
"5cd76be4dcc70d919e0e6ae5","Robert Baratheon","robert_baratheon.jpeg"
"5cd76be4dcc70d919e0e6aeb","Viserys Targaryen","viserys_targaryen.jpeg"
"5cd76be4dcc70d919e0e6af0","Bran Stark","bran_stark.jpeg"
"5cd76be4dcc70d919e0e6af5","Petyr Baelish (“Littlefinger”)","petyr_baelish (“littlefinger”).jpeg"
"5cd76be4dcc70d919e0e6afa","Jeor Mormont","jeor_mormont.jpeg"
"5cd76be4dcc70d919e0e6aff","Grand Maester Pycelle","grand_maester pycelle.jpeg"
"5cd76be4dcc70d919e0e6aea","Daenerys Targaryen","daenerys_targaryen.jpeg"
"5cd76be4dcc70d919e0e6b04","Barristan Selmy","barristan_selmy.jpeg"
"5cd76be4dcc70d919e0e6ae6","Tyrion Lannister","tyrion_lannister.jpeg"
"5cd76be4dcc70d919e0e6aec","Jon Snow","jon_snow.jpeg"
"5cd76be4dcc70d919e0e6af1","Rickon Stark","rickon_stark.jpeg"
"5cd76be4dcc70d919e0e6aef","Arya Stark","arya_stark.jpeg"
"5cd76be4dcc70d919e0e6af6","Sandor Clegane (“The Hound”)","sandor_clegane (“the hound”).jpeg"
"5cd76be4dcc70d919e0e6afb","Gendry","gendry.jpeg"
"5cd76be4dcc70d919e0e6b00","Varys","varys.jpeg"
"5cd76be4dcc70d919e0e6b05","Khal Drogo","khal_drogo.jpeg"
"5cd76be4dcc70d919e0e6af4","Theon Greyjoy","theon_greyjoy.jpeg"
"5cd76be4dcc70d919e0e6b0a","Osha","osha.jpeg"
"5cd76be4dcc70d919e0e6af9","Ros","ros.jpeg"
"5cd76be4dcc70d919e0e6b0f","Tywin Lannister","tywin_lannister.jpeg"
"5cd76be4dcc70d919e0e6b14","Roose Bolton","roose_bolton.jpeg"
"5cd76be4dcc70d919e0e6afe","Bronn","bronn.jpeg"
"5cd76be4dcc70d919e0e6b19","Jaqen H’ghar","jaqen_h’ghar.jpeg"
"5cd76be4dcc70d919e0e6b1e","Tormund","tormund.jpeg"
